hotspot_id,dominant_junction,historical_CHI,pred_7d_violations,pred_7d_CHI
HS_8960145b11bffff,"BTP210 - 50th cross, 12th Main , Rajajinagar",78.5235211880294,41.07723540714809,100.0
HS_8960145849bffff,BTP028 - Vijayanagar Bus Stand Junction,78.4508811068858,23.87598745073591,56.60722499302455
HS_8960145a24fffff,"BTP070 - Cholurpalya Junction, Magadi Road",78.3327378537606,170.49800384521484,100.0
HS_8960145b42fffff,BTP058 - Subbanna Junction,78.2007073834438,21.164274052211216,64.11237357003348
HS_8960145a06bffff,BTP096 - Gali Anjaneya Temple,78.09249535215461,24.557861889430455,59.430655713762555
HS_8960145b5c3ffff,BTP043 - Upparpet Junction,77.73996201216913,23.46435814993722,59.47551535470145
HS_8960145b10fffff,BTP018 - Dhobi Ghat Junction,77.54932562385775,23.03036856515067,59.46853881835937
HS_89601690193ffff,No Junction,77.30909427307644,66.51928555079868,54.656283754621235
HS_8960145b4dbffff,BTP211 - Central Street Junction,77.30881033068947,19.482935594831194,58.11557346888951
HS_8960145b5d7ffff,BTP082 - KR Market Junction,77.1920538579361,29.410915565490722,61.484298324584955
HS_8960145b3afffff,"BTP026 - 1st Block Junction, Rajajinagar",77.11436566421949,26.49158774784633,64.50677108764648
HS_8961892e923ffff,BTP211 - Central Street Junction,77.09521332119722,19.535263938903807,53.763937072753905
HS_89601458493ffff,"BTP022 - Marenahalli Junction, Vijayanagar",77.06682385229959,26.61502217701503,65.62625639779226
HS_89618925c6bffff,BTP135 - UCO Bank Junction,76.91542111558299,34.9184219796317,79.05262919834682
HS_8960145b113ffff,BTP061 - Bhashyam Circle,76.5636851482211,22.82678009033203,84.82021122523716
HS_8961892598fffff,BTP220 - Puttanna Junction,76.22920095775092,14.059576136725289,46.30897093636649
HS_89618925983ffff,"BTP226 - 33rd Cross, 11th Main, Jayanagar",75.47820798571395,15.766846111842563,56.54010478428432
HS_8960145b18fffff,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",75.24785991656098,20.85721515927996,89.51160670689175
HS_8960145b5cfffff,BTP043 - Upparpet Junction,75.02943917391266,17.78258892604283,56.13301679338728
HS_8960145b583ffff,"BTP083 - AS Char Street, Mysore Road",75.00668034394752,20.344041301182337,66.21682316371373
HS_89618924a73ffff,"BTP115 - Sahasra Hospital, Jayanagar",74.74103865020231,14.580075367518834,66.89114188058036
HS_89618925893ffff,BTP140 - Madiwala Check Post,74.62077120349967,14.314341882978168,61.68747358049665
HS_8960145b103ffff,BTP061 - Bhashyam Circle,74.38823838661077,23.409134281703405,69.02540025983538
HS_89601458497ffff,"BTP022 - Marenahalli Junction, Vijayanagar",74.28000829991095,17.56717012677874,40.512822745186945
HS_89618925817ffff,BTP126 - Dairy Circle,74.04586578174171,14.170193217141287,69.35141035897391
