hotspot_id,dominant_junction,historical_CHI,pred_24h_violations,pred_24h_CHI
HS_89618925917ffff,"BTP188 - 27th Cross, 4th Main, Jayanagar",54.95057292633927,15.101354,65.17438
HS_8960145a423ffff,BTP155 - Katriguppe Junction,54.92071797074799,13.590294,100.0
HS_8960145a2bbffff,"BTP094 - Sri Skanda Complex, Mysore Road",54.90987135054872,1.831348,32.737385
HS_8960145b087ffff,No Junction,54.898094236734984,4.345407,32.532673
HS_8960145a29bffff,BTP092 - Bangalore Builders Junction,54.86171596778704,1.831348,34.86182
HS_8960145b47bffff,"BTP033 - Sophia High School, Sankey Road",54.81044390762243,3.3834043,13.2914915
HS_89618924aabffff,"BTP159 - JP Nagar Metro, ORR",54.79346272096134,1.831348,32.737385
HS_89618925a77ffff,"BTP099 - Cash Pharmacy, Residency Road",54.73185968849865,1.831348,32.737385
HS_89618925b57ffff,BTP180 - Swagath Poornima Theatre,54.57075447583165,1.831348,34.86182
HS_89601458587ffff,No Junction,54.534022522159034,4.284296,34.42899
HS_89618925a2bffff,"BTP099 - Cash Pharmacy, Residency Road",54.51409071588316,1.831348,32.737385
HS_89618925b4fffff,BTP078 - NR Square Junction,54.3859833150952,1.831348,34.86182
HS_89618925d17ffff,"BTP202 - East End Main Road, Jayanagar",54.385056019167635,7.145278,52.58126
HS_89618925b8bffff,BTP121 - KH Circle,54.38023109728212,1.831348,68.406975
HS_89618925407ffff,No Junction,54.29758500564248,4.284296,33.288822
HS_89618925d7bffff,"BTP127 - Sagar Hospital, Jayanagar",54.241114345297305,3.3322031,34.86182
HS_89618925973ffff,"BTP186 - 9th Cross, 4th Main, Jayanagar",54.20735931866827,6.244156,47.482677
HS_89618925c63ffff,BTP135 - UCO Bank Junction,54.18865198227047,2.1542363,36.807514
HS_8960145b4cfffff,BTP042 - Minsk Square Junction (CTO),54.17636344331268,2.3721125,34.125156
HS_8960145b1cfffff,"BTP015 - Suguna Hospital, Dr. Rajkumar Road",54.14145495641136,1.831348,34.86182
HS_8961892420fffff,No Junction,53.997192670078775,4.960799,41.393063
HS_8960145a66bffff,BTP091 - Sirsi Circle,53.96555813924909,2.4923286,15.461392
HS_89618925ddbffff,"BTP163 - 16th Main Road, BTM Layout",53.92588165628794,1.831348,34.86182
HS_89618920a2bffff,No Junction,53.92414770038657,4.233095,36.470924
HS_8961892ed77ffff,No Junction,53.90867655062104,4.850725,34.038456
HS_8961892ed93ffff,"BTP145 - Sri Hatti Maramma Circle, Domluru",53.907347335469666,4.445168,29.55529
HS_8960145b4a7ffff,BTP038 - Mysore Bank Junction,53.86955607424163,2.3721125,26.394056
HS_8960145a64fffff,BTP214 - 5th Main Chamrajpet  Junction,53.77487653552533,1.831348,34.86182
HS_89618925947ffff,"BTP186 - 9th Cross, 4th Main, Jayanagar",53.765605717373,18.940273,92.882286
HS_89601696687ffff,No Junction,53.756507630707894,8.014105,60.430183
HS_8960145a14bffff,BTP098 - Nayandahalli Junction,53.60727521392386,1.831348,32.737385
HS_896189240c3ffff,No Junction,53.58734670573397,7.172074,38.833454
HS_896014582dbffff,No Junction,53.584655575295784,9.469621,55.772415
HS_89618925d27ffff,"BTP177 - Aurobindo Circle, ORR",53.45622771168619,1.831348,34.86182
HS_8960145913bffff,No Junction,53.415193106594906,4.850725,34.038456
HS_8960145b417ffff,BTP041 - Gopal Gowda Circle,53.402920198241034,3.3322031,34.86182
HS_8960145b56fffff,BTP010 - Rajajinagar Entrance,53.39391561579837,4.906819,40.615692
HS_8960145a2cfffff,No Junction,53.2772389371713,7.2521014,43.26272
HS_8960145b517ffff,BTP085 - Briyand Circle,53.23129962834141,3.3834043,14.431663
HS_8961892584bffff,BTP132 - Anepalya Junction,53.21390035129958,1.8825496,12.307227
HS_89618924a03ffff,BTP196 - Sarakki Main Road,53.20415940559053,1.831348,32.737385
HS_89618920a23ffff,No Junction,53.17413463899453,4.233095,36.470924
HS_89601458697ffff,BTP207 - 8th Main Road Basaveshwara Nagar,53.160776053227806,1.831348,35.92925
HS_8960145b26bffff,No Junction,53.01828336214784,4.233095,36.470924
HS_8961892cb13ffff,No Junction,52.96041588249915,4.233095,36.470924
HS_8960145b4afffff,BTP038 - Mysore Bank Junction,52.91956127089077,2.3721125,26.394056
HS_89618925c8bffff,BTP137 - Madiwala Traffic PS Junction,52.91089397781859,12.488072,67.046135
HS_8961892cb93ffff,No Junction,52.835660266566045,4.850725,26.684692
HS_89618925ba7ffff,BTP184 - Lalbagh West Gate,52.803427039953085,3.9931831,11.623024
