hotspot_id,dominant_junction,historical_CHI,pred_24h_CHI,chi_pct_change
HS_89618924347ffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892e0cbffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892e0afffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_89618924333ffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8960145a2cbffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892e4abffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892e457ffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892198bffff,No Junction,25.967005727960142,36.470924,40.4510198808602
HS_89601696013ffff,No Junction,26.01058148246985,36.470924,40.21572105960581
HS_8960169605bffff,No Junction,26.022362430196537,36.470924,40.15224203902518
HS_8960169746fffff,No Junction,26.022362430196537,36.470924,40.15224203902518
HS_8961892cc7bffff,No Junction,26.022362430196537,36.470924,40.15224203902518
HS_8961892cd67ffff,No Junction,26.022362430196537,36.470924,40.15224203902518
HS_8961892418fffff,No Junction,26.063116258083458,36.470924,39.933091715884025
HS_8961892438bffff,No Junction,26.06600236107518,36.470924,39.91759792020919
HS_896189253afffff,No Junction,26.06600236107518,36.470924,39.91759792020919
HS_8961892568fffff,No Junction,26.06600236107518,36.470924,39.91759792020919
HS_8961892c377ffff,No Junction,26.06600236107518,36.470924,39.91759792020919
HS_89618925b1bffff,"BTP102 - BMTC Junction, KH Road",39.43263448040109,55.158924,39.88140744235192
HS_89618924103ffff,No Junction,26.11957883121066,36.470924,39.63059899672569
HS_89618925823ffff,"BTP123 - 10th Cross, Wilson Garden",39.50949698947074,55.158924,39.609279554946056
HS_8961892c9cbffff,No Junction,26.222920000768372,36.470924,39.080332687483896
HS_8960169603bffff,No Junction,26.34620188869527,36.470924,38.42953353018407
HS_8960145a5b3ffff,No Junction,26.38013285175867,36.470924,38.25148107626008
HS_896016900abffff,No Junction,26.38013285175867,36.470924,38.25148107626008
HS_89618924bd3ffff,No Junction,26.41138490982152,36.470924,38.08789089238208
HS_89618924127ffff,No Junction,26.41138490982152,36.470924,38.08789089238208
HS_896189219a7ffff,No Junction,26.41138490982152,36.470924,38.08789089238208
HS_8960169449bffff,No Junction,26.41138490982152,36.470924,38.08789089238208
HS_89601690c27ffff,No Junction,26.41138490982152,36.470924,38.08789089238208
HS_8961892dd57ffff,No Junction,26.563477403375757,36.470924,37.297251499182806
HS_8960169739bffff,No Junction,26.56428052479276,36.470924,37.29310057316499
HS_8961892cddbffff,No Junction,26.56428052479276,36.470924,37.29310057316499
HS_896189246a7ffff,No Junction,26.56428052479276,36.470924,37.29310057316499
HS_8960145a84fffff,No Junction,26.56428052479276,36.470924,37.29310057316499
HS_89618925e67ffff,No Junction,26.56428052479276,36.470924,37.29310057316499
HS_896014591dbffff,No Junction,26.56428052479276,36.470924,37.29310057316499
HS_896014593cfffff,No Junction,26.56428052479276,36.470924,37.29310057316499
HS_89618925383ffff,No Junction,26.56428052479276,36.470924,37.29310057316499
HS_8961892c92fffff,No Junction,26.58400834060467,36.470924,37.19121627619778
HS_89618925bc3ffff,"BTP102 - BMTC Junction, KH Road",49.98875258467099,68.406975,36.844732575818284
HS_8961892ee53ffff,No Junction,26.670133027721043,36.470924,36.74819071780925
HS_89601458267ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601459033ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145903bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145910bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892cd07ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892601bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892534bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601458133ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145ac53ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892cb5bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89618920a77ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892e83bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89618924057ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145ae2fffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89618922817ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145a01bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145ad63ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892e103ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892e91bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89618925cc7ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145aa43ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892c5a7ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892ca2bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_896189263c3ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892711bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892623bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145166bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145141bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892c933ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89618924bb3ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601459313ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89618925a9bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601451847ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_896014580b7ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89618924e33ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_896014591cfffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892cc67ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601458583ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89618925593ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145842fffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145aab7ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89618926293ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145a1dbffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145a49bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892ec67ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601459c07ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145b657ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601690037ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145b24bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892445bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601459413ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892e49bffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601459c4fffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601692b07ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601692303ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8961892e5dbffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601696267ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960169106fffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_8960145a473ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_896016913d3ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_896189209bbffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601696527ffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_896016965bbffff,No Junction,26.677900201973227,36.470924,36.70837697617536
HS_89601696027ffff,No Junction,26.691263555596905,36.470924,36.63993201923106
HS_8960145968fffff,No Junction,26.737903273320818,36.470924,36.40158693307951
HS_896189254d7ffff,No Junction,26.737903273320818,36.470924,36.40158693307951
HS_89618925e9bffff,No Junction,26.737903273320818,36.470924,36.40158693307951
HS_89618924cafffff,No Junction,26.737903273320818,36.470924,36.40158693307951
HS_8960145965bffff,No Junction,26.737903273320818,36.470924,36.40158693307951
HS_8961892e107ffff,No Junction,26.737903273320818,36.470924,36.40158693307951
HS_89601459177ffff,No Junction,26.737903273320818,36.470924,36.40158693307951
HS_8961892565bffff,No Junction,26.737903273320818,36.470924,36.40158693307951
HS_8961892ea17ffff,No Junction,26.737903273320818,36.470924,36.40158693307951
HS_8961892c9c3ffff,No Junction,26.756631771387816,36.470924,36.30611165506102
HS_8961892498bffff,No Junction,26.756631771387816,36.470924,36.30611165506102
HS_89618924957ffff,No Junction,26.756631771387816,36.470924,36.30611165506102
HS_89618925a93ffff,No Junction,26.76026965470139,36.470924,36.28758173232383
HS_8961892ead3ffff,No Junction,26.786189573310654,36.470924,36.15570171944304
HS_8961892e197ffff,No Junction,26.786189573310654,36.470924,36.15570171944304
HS_8961892eccfffff,No Junction,26.78794983943013,36.470924,36.14675477612909
HS_89618924c83ffff,No Junction,26.78794983943013,36.470924,36.14675477612909
